channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,qOWXJzFVNiM,https://www.youtube.com/watch?v=qOWXJzFVNiM,Luvenio | Transmisión especial desde Guantánamo Bar,2025-07-04T03:31:36Z,13639.0,831,32,0,"La música, los DJ's, la noche y las fiestas en un stream único de la mano de Franco Giraudo y Valen Albornoz.
En esta ocasión en vivo desde Guantánamo Bar en San Rafael, Mendoza.
2 Dj´s set en vivo, nuestro residente Franco Giraudo y el invitado Facundo Gaggioli.
Venite a la transmisión desde las 20:30 y hasta 00:00 en Avda. Hip. Yrigoyen 1630.
#dj #liveset #livestream #livesession #transmisión #exterior #bar #pool #party #streaming #mendoza #sanrafael",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,L5CZcJGHQ9Y,https://www.youtube.com/watch?v=L5CZcJGHQ9Y,Viernes! | Convocados | Avisame Cuando Termines,2025-07-05T14:19:48Z,13659.0,437,10,0,"Los viernes son únicos en Serebross TV

Convocados Programa #11

Este viernes en Convocados, nos visita  Carolina Aldave (kinesióloga, osteópata y jugadora de básquet) a charlar sobre cómo proteger tu cuerpo y prevenir lesiones ¡sin morir en el intento! 💪  

Además, Milagros y Gastón traen un juego POLÉMICO que va generar debate.. te sumás? 🤼‍♂  

✅ Suscribite + activá la campanita 🛎: acá hablamos de todo el deporte sin filtros.

#Convocados #Deportes #Mendoza #Streaming

Avísame Cuando Termines - Programa #31 Temporada 2

Lo que todos pensamos pero nadie se atreve a decir, sexualidad y risas.

El erotismo y la comida siempre van de la mano, una cena, un vino, todo enciende los sentidos. En este programa vamos a indagar en una técnica japonesa llamada “nyotaimori”, el arte del sushi sobre el cuerpo, ¿te imaginas comer sobre un cuerpo desnudo? Hoy encendemos tus sentidos. 

#sushi #sexualidad #erotismo #practicaseroticas #sushisobreelcuerpo
#sexualidadlibre #mesdelorgullo #sexologiapublica #LGBTQ+# sexoenelauto #ninfomanía #asexualidad
#stream  #deportes #sexualidad #noticiasinternacionales 
#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,EAXKWtzxCaE,https://www.youtube.com/watch?v=EAXKWtzxCaE,DE ARRIBA ABAJO: Actualidad con Ironía para Todos,2025-06-19T13:57:35Z,8684.0,377,14,1,"DE ARRIBA ABAJO es un programa de streaming que aborda los temas más actuales con un toque irónico y humorístico. Dirigido a todas las edades, ofrece un análisis único de los eventos más relevantes del momento, desafiando las convenciones y rompiendo con lo esperado. Con un estilo desenfadado y divertido, este programa te hará ver la actualidad desde una perspectiva fresca y diferente. Perfecto para quienes disfrutan de la crítica social con humor. ¡No te pierdas las risas y reflexiones de DE ARRIBA ABAJO!
#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo  #live",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,gPYfqSJji-8,https://www.youtube.com/watch?v=gPYfqSJji-8,Luvenio,2025-06-27T13:52:40Z,6944.0,366,30,4,"La música, los DJ's, la noche y las fiestas en un stream único de la mano de Franco Giraudo y Vale Albornoz.
#dj #liveset #livestream #livesession",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,9bUdN0ffXJ8,https://www.youtube.com/watch?v=9bUdN0ffXJ8,De Arriba Abajo | Programa #40,2025-07-03T01:15:00Z,7678.0,360,11,1,"¡Hoy es un día de conversación caliente en de arriba abajo ! 
🤩 Vamos a hablar de aplicaciones de citas y cómo navegar en el mundo del amor digital. 💻💕 

Nuestra invitada especial Nerea Olivera, sexóloga, nos cuenta sobre sexo después de la maternidad y cómo recuperar la intimidad. 🤱‍♀💋

 Y para finalizar, ¡un desfile de moda con la marca Acordé a Vos! 👗👙 Hablaremos de la comodidad en la ropa interior y cómo elegir la perfecta para ti. 😉 

¡No te pierdas este stream lleno de conversación y estilo! 📺 
#Stream #AplicacionesDeCitas #SexoDespuésDeLaMaternidad #RopaInterior #Comodidad #Moda""",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,igz1Ji2eGV8,https://www.youtube.com/watch?v=igz1Ji2eGV8,Viernes! | Indice Rural | Convocados | Avisame Cuando Termines,2025-06-21T02:23:51Z,18403.0,350,16,0,"Los viernes son únicos en Serebross TV

Indice Rural
La actualidad de la agricultura y la ganadería de Mendoza en streaming para todo el mundo.

Convocados
El mundo del deporte desde la perspectiva de 3 personajes muy particulares.

Avisame Cuando Termines
Lo que todos pensamos pero nadie se atreve a decir, sexualidad y risas.

Seguínos en Instagram en @serebrosstv 
#stream #ganaderia #agricultura #deportes #sexualidad #noticiasinternacionales 
#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,ltH3F1ez3aI,https://www.youtube.com/watch?v=ltH3F1ez3aI,NO JUGAMOS A NADA #53: Día del futbolista / Pasión entre ruedas,2025-06-25T13:09:36Z,29473.0,282,9,0,"NO JUGAMOS A NADA #53 - En conmemoración al Día del futbolista que fue el domingo 22-06-2025, compartiremos una rica entrevista con Sebastián Zúñiga, jugador surgido en San Rafael que pasó por varios clubes del país y el exterior. 

Además invitados, Adriana Alos y su hijo Hugo Jover, apasionados por el ciclismo.

Todo lo que dejó el fin de semana, análisis táctico y más.

#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,HQtdhK79ne4,https://www.youtube.com/watch?v=HQtdhK79ne4,Viernes! | Convocados | Avisame Cuando Termines,2025-07-12T02:30:18Z,14805.0,252,8,0,"Los viernes son únicos en Serebross TV

Convocados Programa #12

EJERCITAR tu cuerpo es posible! | Ramiro Altamiranda 

Este viernes en Convocados, nos visita  Ramiro Altamiranda (profesor de educación física) para charlar sobre cómo ejercitar tu cuerpo ¡sin morir en el intento! 💪  

Además, Milagros y Gastón traen un juego sobre Mundiales de fútbol que va generar debate.. te sumás? 🤼‍♂  

✅ Suscribite + activá la campanita 🛎: acá hablamos de todo el deporte sin filtros.

#Convocados #Deportes #Mendoza #Streaming #entrenamiento #vidasaludable

Avísame Cuando Termines - Programa #32 Temporada 2

Lo que todos pensamos pero nadie se atreve a decir, sexualidad y risas.

¿Alguna vez tuviste una mala experiencia sexual?¿Algún muertito en el Placard o situación que te avergüenza?
En este programa vamos a sacar toda la vergüenza afuera y demostrar que es más común de lo que pensas...anímate a participar y a conocer,por medio de la grafología,tips para que no te vuelvas a cruzar con fiascos sexuales.
También vamos a conocer sobre intersexualidad con Romi para ampliar temas relacionados al género.

#verguenza #sexualidad  #conocernos#grafologia #intersexualidad #sexualidad #erotismo #practicaseroticas #sexualidadlibre #mesdelorgullo #sexologiapublica #LGBTQ+ #ninfomanía #asexualidad
#stream  #deportes #sexualidad #noticiasinternacionales 
#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,a72EsMPYL6Q,https://www.youtube.com/watch?v=a72EsMPYL6Q,Luvenio | Programa #3,2025-07-11T13:46:21Z,7250.0,252,16,0,"La música, los DJ's, la noche y las fiestas en un stream único de la mano de Franco Giraudo y Vale Albornoz.

Hoy contamos con la participación especial de Laiven  y un set único de la mano de DJ Nadimix (Nico Nadal)

#dj #liveset #livestream #livesession #music #sanrafael #mendoza #djenvivo #livestream",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,7KsmYImohLg,https://www.youtube.com/watch?v=7KsmYImohLg,Viernes! | Convocados | Avisame Cuando Termines,2025-06-28T14:24:03Z,12299.0,230,8,0,"Los viernes son únicos en Serebross TV

Convocados Programa #10

Periodismo y fútbol, dos pasiones unidas en un libro | Morri Arditi

Este viernes en Convocados tendremos la visita del periodista Mauricio Arditi, quien conjugó el periodismo y el fútbol para volcarlo en su libro “Al interior del fútbol”.

Milagros González y Gastón Ifran te invitan a una charla divertida y con muchas anécdotas con la redonda.

🔔Suscribite y activá la campanita de nuestro canal si son fan del fútbol o cualquier deporte

#convocados #streaming #deportes #serebrosstv #mendoza

Avisame Cuando Termines - Programa #30 Temporada 2

Lo que todos pensamos pero nadie se atreve a decir, sexualidad y risas.

Un programa para y por el orgullo, festejamos el mes de la diversidad y la sexualidad en todo 
sus sentidos…y ¡uff! que vamos a explorar sentidos dentro del auto para que lo disfrutes en 
todo momento. Tenemos sección de Guada con muchas noticias actuales sobre sexualidad 
libre y avances a nivel académico. Y para cerrar, los polos opuestos… ninfomanía y 
asexualidad, ¿qué sabes de estos temas?   
#sexualidadlibre #mesdelorgullo #sexologiapublica #LGBTQ+# sexoenelauto #ninfomanía #asexualidad
#stream  #deportes #sexualidad #noticiasinternacionales 
#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,
