CanalID,Nombre,URL,Descripcion,Pais,FechaCreacion,Suscriptores,VistasTotales,CantidadVideos,CantidadVivosMes,PromedioDiasEntreVivos,FrecuenciaSemanal,FrecuenciaDiaria,FechaPrimerVivoMes,FechaUltimoVivoMes,MonetizacionAlternativa_desc,Links_desc,Plataformas_desc,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,"El streaming no es el futuro. Es el Presente.
Y desde FloydTV lo estamos liderando.
",AR,2018-05-31T20:34:05Z,27300,1045878,1544,38,0.35,9.5,1.23,2025-08-01T19:48:14Z,2025-08-29T11:11:32Z,No,,,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,"El PRIMER canal de streaming en Mendoza. 


PROGRAMACIÓN DIARIA EN VIVO  
De lunes a viernes de 11.00 a 14.00. 


Contacto Comercial: 
https://wa.me/5492615035445

",AR,2023-04-28T19:28:23.380002Z,9100,726461,2178,22,0.76,5.5,0.71,2025-08-01T18:52:26Z,2025-08-29T17:43:42Z,No,https://wa.me/5492615035445,,
UC2Spl5nhZtU_c8w7amfOKqw,Goreme Media,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,"Canal de #streaming 🎧 - Mendoza, Argentina",AR,2012-01-30T22:07:35Z,7050,1476104,182,0,,,,,,No,,,Sin vivos en el mes
UCxtCp4e1pGevREzI4aCMjow,EL BÚNKER,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,"Un refugio para fingir cordura ✌️
Todos los lunes de 19 a 21 h en vivo 
Somos @elbunkermza en todas las redes
",AR,2023-08-31T01:19:07.131715Z,962,73974,150,4,6.67,1.0,0.13,2025-08-05T12:25:17Z,2025-08-26T13:04:13Z,No,,,
UCKmXYozYivG-QniM45u0THA,MALBEC PLAY,https://youtube.com/@malbecplay?si=CJp8lB2RIvVn99L8,"🎧 STREAM DE PURA CEPA 🤙🏼 


",AR,2021-08-22T23:31:39.64852Z,553,30148,273,0,,,,,,No,,,Sin vivos en el mes
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,"Nuestro canal de TV redefine la diversión con una mezcla única de creatividad y energía. Ofrecemos programación fresca y dinámica, desde series innovadoras hasta contenido interactivo, que captura el espíritu de la juventud y mantiene a nuestra audiencia siempre conectada con lo más actual.
",Argentina,2011-10-21T18:06:49Z,1500,138112,428,26,0.68,6.5,0.84,2025-08-01T11:34:52Z,2025-08-30T13:55:10Z,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Agencia Aluza,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn,Agencia de comunicación Audiovisual,AR,2020-12-30T06:10:27.350154Z,1790,33743,207,0,,,,,,No,,,Sin vivos en el mes
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,"💣BARDO EN VIVO💣 De Mendoza para el mundo. Hacer cosas en Argentina, en el rubro que sea... Es un Bardo !!
Vivir en Argentina es un Bardo. Por eso hicimos un canal donde cada Bardo tenga su lugar en el streaming. Se vienen cositas lindas para este 2025, estén atentxs.
 
",AR,2023-09-19T17:06:01.887384Z,4940,271929,496,30,0.48,7.5,0.97,2025-08-01T08:01:33Z,2025-08-30T10:18:24Z,No,,,
UCBSWjvvdoYMkgdybOl1TafA,Gordivinos,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh,"Somos un canal de streaming donde no solo hablamos de obesidad, sino de superación.📲✨💪🏻
Todos los domingos a las 11hs por YouTube. 
Seguinos en nuestras redes sociales: 
- Instagram: @Gordivinos.ok
- Tiktok: @Gordivinos
- Facebook: Gordivinos
",Argentina,2025-02-26T00:44:27.989043Z,689,33293,39,5,6.75,1.25,0.16,2025-08-04T04:07:41Z,2025-09-01T04:34:16Z,No,,,
UC9kKAxookRd_sLlkmc1ROtA,DESDE EL FONDO,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0,"Otro canal de streaming 

DESDE EL FONDO | Viernes 9:30am
",Argentina,2023-05-06T13:16:55.125123Z,827,166816,228,0,,,,,,No,,,Sin vivos en el mes
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,https://youtube.com/@cascotetv?si=6BIclzcR-wDcxADN,"Streaming de Mendoza al mundo... o bueno, a donde lleguemos 👀🎙️💻",Argentina,2025-03-14T21:43:06.776556Z,737,30982,129,16,1.2,4.0,0.52,2025-08-01T11:47:23Z,2025-08-28T12:38:30Z,No,,,
