CanalID,Nombre,URL,Descripcion,Pais,FechaCreacion,Suscriptores,VistasTotales,CantidadVideos,CantidadVivosMes,PromedioDiasEntreVivos,FrecuenciaSemanal,FrecuenciaDiaria,FechaPrimerVivoMes,FechaUltimoVivoMes,MonetizacionAlternativa_desc,Links_desc,Plataformas_desc,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,"El streaming no es el futuro. Es el Presente.
Y desde FloydTV lo estamos liderando.
",AR,2018-05-31T20:34:05Z,29000,1336226,1837,33,0.59,8.25,1.06,2026-03-03T10:17:27Z,2026-03-31T07:06:56Z,No,,,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,"Tu canal digital de Mendoza 
Entrevistas, actualidad, tendencias, cobertura de eventos y mucho más...


Contacto Comercial: 
https://wa.me/5492615035445

",AR,2023-04-28T19:28:23.380002Z,10100,1012770,2554,0,,,,,,No,https://wa.me/5492615035445,,Sin vivos en el mes
UC2Spl5nhZtU_c8w7amfOKqw,Goreme Media,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,"Canal de #streaming 🎧 - Mendoza, Argentina",AR,2012-01-30T22:07:35Z,7070,1495816,182,0,,,,,,No,,,Sin vivos en el mes
UCxtCp4e1pGevREzI4aCMjow,EL BÚNKER,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,"NADIE AFUERA ✌️
Todos los lunes de 19 a 21 h en vivo 
Somos @elbunkermza en todas las redes
",AR,2023-08-31T01:19:07.131715Z,1230,128234,240,0,,,,,,No,,,Sin vivos en el mes
UCKmXYozYivG-QniM45u0THA,MALBEC PLAY,https://youtube.com/@malbecplay?si=CJp8lB2RIvVn99L8,"🎧 STREAM DE PURA CEPA 🤙🏼 


",AR,2021-08-22T23:31:39.64852Z,551,30371,273,0,,,,,,No,,,Sin vivos en el mes
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,"Bienvenidos a SEREBROSS TV, un canal de streaming en vivo  de MENDOZA, donde la actualidad, los deportes y el entretenimiento se combinan en un formato dinámico y auténtico. Transmitimos desde San Rafael, Argentina, con noticias en vivo, análisis deportivo, entrevistas, música, cobertura de eventos, fiestas y turismo.
Creamos contenido original pensado para los que quieren informarse, reírse y descubrir cosas nuevas en un mismo lugar. Somos un magazine en vivo con energía, comunidad y personalidad propia.
Si buscás información y entretenimiento en un solo canal, este es tu espacio.
Suscribite y activá la campana para no perderte ningún programa en vivo.
",AR,2011-10-21T18:06:49Z,2070,286730,701,27,0.77,6.75,0.87,2026-03-01T12:16:05Z,2026-03-31T13:37:31Z,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn,Streaming bien mendocino 🔋,AR,2020-12-30T06:10:27.350154Z,2380,35146,64,18,1.24,4.5,0.58,2026-03-04T03:32:09Z,2026-03-31T15:18:13Z,No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,"💣BARDO EN VIVO💣 De Mendoza para el mundo. Hacer cosas en Argentina, en el rubro que sea... Es un Bardo !!
Vivir en Argentina es un Bardo. Por eso hicimos un canal donde cada Bardo tenga su lugar en el streaming. Se vienen cositas lindas para este 2026, sumate a nuestro bardo.
 
",AR,2023-09-19T17:06:01.887384Z,8620,546344,995,21,1.0,5.25,0.68,2026-03-03T07:18:49Z,2026-03-31T16:09:17Z,No,,,
UCBSWjvvdoYMkgdybOl1TafA,Gordivinos,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh,"Somos un canal de streaming donde no solo hablamos de obesidad, sino de superación.📲✨💪🏻
Todos los domingos a las 11hs por YouTube. 
Seguinos en nuestras redes sociales: 
- Instagram: @Gordivinos.ok
- Tiktok: @Gordivinos
- Facebook: Gordivinos
",Argentina,2025-02-26T00:44:27.989043Z,805,44657,64,0,,,,,,No,,,Sin vivos en el mes
UC9kKAxookRd_sLlkmc1ROtA,DESDE EL FONDO,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0,"Esto no es un canal de streaming

",Argentina,2023-05-06T13:16:55.125123Z,821,167408,228,0,,,,,,No,,,Sin vivos en el mes
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,https://youtube.com/@cascotetv?si=6BIclzcR-wDcxADN,"Streaming de Mendoza al mundo... o bueno, a donde lleguemos 👀🎙️💻",AR,2025-03-14T21:43:06.776556Z,1190,48636,190,0,,,,,,No,,,Sin vivos en el mes
