CanalID,Nombre,URL,Descripcion,Pais,FechaCreacion,Suscriptores,VistasTotales,CantidadVideos,CantidadVivosMes,PromedioDiasEntreVivos,FrecuenciaSemanal,FrecuenciaDiaria,FechaPrimerVivoMes,FechaUltimoVivoMes,MonetizacionAlternativa_desc,Links_desc,Plataformas_desc,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,"El streaming no es el futuro. Es el Presente.
Y desde FloydTV lo estamos liderando.
",AR,2018-05-31T20:34:05Z,28200,1201350,1715,54,0.25,13.5,1.74,2025-10-31T11:13:40Z,2025-11-29T03:44:05Z,No,,,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,"El PRIMER canal de streaming en Mendoza. 


PROGRAMACIÓN DIARIA EN VIVO  
De lunes a viernes de 11.00 a 14.00. 


Contacto Comercial: 
https://wa.me/5492615035445

",AR,2023-04-28T19:28:23.380002Z,9940,828304,2472,8,2.71,2.0,0.26,2025-11-05T18:52:21Z,2025-11-27T18:32:21Z,No,https://wa.me/5492615035445,,
UC2Spl5nhZtU_c8w7amfOKqw,Goreme Media,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,"Canal de #streaming 🎧 - Mendoza, Argentina",AR,2012-01-30T22:07:35Z,7050,1485391,182,0,,,,,,No,,,Sin vivos en el mes
UCxtCp4e1pGevREzI4aCMjow,EL BÚNKER,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,"Un refugio para fingir cordura ✌️
Todos los lunes de 19 a 21 h en vivo 
Somos @elbunkermza en todas las redes
",AR,2023-08-31T01:19:07.131715Z,1180,113971,223,4,7.67,1.0,0.13,2025-11-04T12:14:39Z,2025-11-28T11:23:01Z,No,,,
UCKmXYozYivG-QniM45u0THA,MALBEC PLAY,https://youtube.com/@malbecplay?si=CJp8lB2RIvVn99L8,"🎧 STREAM DE PURA CEPA 🤙🏼 


",AR,2021-08-22T23:31:39.64852Z,550,30256,273,0,,,,,,No,,,Sin vivos en el mes
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,"Nuestro canal de TV redefine la diversión con una mezcla única de creatividad y energía. Ofrecemos programación fresca y dinámica, desde series innovadoras hasta contenido interactivo, que captura el espíritu de la juventud y mantiene a nuestra audiencia siempre conectada con lo más actual.
",Argentina,2011-10-21T18:06:49Z,1760,201853,555,20,1.05,5.0,0.65,2025-10-31T11:27:28Z,2025-11-27T23:10:52Z,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Agencia Aluza,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn,Agencia de comunicación Audiovisual,AR,2020-12-30T06:10:27.350154Z,1790,33904,207,0,,,,,,No,,,Sin vivos en el mes
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,"💣BARDO EN VIVO💣 De Mendoza para el mundo. Hacer cosas en Argentina, en el rubro que sea... Es un Bardo !!
Vivir en Argentina es un Bardo. Por eso hicimos un canal donde cada Bardo tenga su lugar en el streaming. Se vienen cositas lindas para este 2025, estén atentxs.
 
",AR,2023-09-19T17:06:01.887384Z,6590,438258,803,31,0.57,7.75,1.0,2025-11-01T07:36:43Z,2025-11-29T10:17:18Z,No,,,
UCBSWjvvdoYMkgdybOl1TafA,Gordivinos,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh,"Somos un canal de streaming donde no solo hablamos de obesidad, sino de superación.📲✨💪🏻
Todos los domingos a las 11hs por YouTube. 
Seguinos en nuestras redes sociales: 
- Instagram: @Gordivinos.ok
- Tiktok: @Gordivinos
- Facebook: Gordivinos
",Argentina,2025-02-26T00:44:27.989043Z,748,39544,61,5,6.75,1.25,0.16,2025-11-03T04:39:29Z,2025-12-01T04:57:02Z,No,,,
UC9kKAxookRd_sLlkmc1ROtA,DESDE EL FONDO,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0,"Esto no es un canal de streaming

",Argentina,2023-05-06T13:16:55.125123Z,824,167119,228,0,,,,,,No,,,Sin vivos en el mes
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,https://youtube.com/@cascotetv?si=6BIclzcR-wDcxADN,"Streaming de Mendoza al mundo... o bueno, a donde lleguemos 👀🎙️💻",AR,2025-03-14T21:43:06.776556Z,1140,46601,185,14,1.15,3.5,0.45,2025-11-04T12:16:32Z,2025-11-27T12:23:25Z,No,,,
UCrKnuUxDxdkFZo-7zM4ZDQQ,Radio Alerta,https://youtube.com/@radioalertamza?si=k9xUrWYPFHEdFv-m,"Luján de Cuyo, Mendoza, Argentina.",Argentina,2020-01-19T01:37:43.138075Z,74,3133,55,2,29.0,0.5,0.06,2025-11-01T13:13:22Z,2025-11-30T13:45:55Z,No,,,
UC1gMJbPatMRNcWKQGfmw8MQ,OID MORTALES,https://youtube.com/@oidmortalesmza?si=XeujmJKrR_AFYcHm,,AR,2023-10-18T02:54:09.88102Z,33600,7174909,908,14,1.31,3.5,0.45,2025-11-05T12:05:17Z,2025-11-29T14:05:23Z,No,,,
UCghFRyDAl663a6CPtjwXw9g,Sifonazo Stream,https://youtube.com/@sifonazostream?si=BJ5yAWV1ixXxL354,"Bienvenidos a Sifonazo Stream.

Acá no venimos a caretear: amamos el deporte, lo vivimos a fondo y lo contamos con pasión.

¡Seguinos y vení a vivir esta aventura con nosotros! 
",AR,2025-07-04T03:11:02.59981Z,1050,255079,244,7,3.33,1.75,0.23,2025-11-04T01:20:59Z,2025-11-28T01:15:41Z,No,,,
