CanalID,Nombre,URL,Descripcion,Pais,FechaCreacion,Suscriptores,VistasTotales,CantidadVideos,CantidadVivosMes,PromedioDiasEntreVivos,FrecuenciaSemanal,FrecuenciaDiaria,FechaPrimerVivoMes,FechaUltimoVivoMes,MonetizacionAlternativa_desc,Links_desc,Plataformas_desc,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,"El streaming no es el futuro. Es el Presente.
Y desde FloydTV lo estamos liderando.
",AR,2018-05-31T20:34:05Z,29300,1364362,1881,41,0.4,10.25,1.32,2026-04-02T06:01:44Z,2026-05-01T11:18:51Z,No,,,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,"Tu canal digital de Mendoza 
Entrevistas, actualidad, tendencias, cobertura de eventos y mucho más...


Contacto Comercial: 
https://wa.me/5492615035445

",AR,2023-04-28T19:28:23.380002Z,10100,1042189,2564,0,,,,,,No,https://wa.me/5492615035445,,Sin vivos en el mes
UC2Spl5nhZtU_c8w7amfOKqw,Goreme Media,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,"Canal de #streaming 🎧 - Mendoza, Argentina",AR,2012-01-30T22:07:35Z,7070,1498029,182,0,,,,,,No,,,Sin vivos en el mes
UCxtCp4e1pGevREzI4aCMjow,EL BÚNKER,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,AFILIATE POR 6K AL MES 👇,AR,2023-08-31T01:19:07.131715Z,1290,136655,261,4,6.67,1.0,0.13,2026-04-07T11:18:18Z,2026-04-28T11:01:33Z,No,,,
UCKmXYozYivG-QniM45u0THA,MALBEC PLAY,https://youtube.com/@malbecplay?si=CJp81B2RIvVn99L8,"🎧 STREAM DE PURA CEPA 🤙🏼 


",AR,2021-08-22T23:31:39.64852Z,551,30389,273,0,,,,,,No,,,Sin vivos en el mes
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,"Bienvenidos a SEREBROSS TV, un canal de streaming en vivo  de MENDOZA, donde la actualidad, los deportes y el entretenimiento se combinan en un formato dinámico y auténtico. Transmitimos desde San Rafael, Argentina, con noticias en vivo, análisis deportivo, entrevistas, música, cobertura de eventos, fiestas y turismo.
Creamos contenido original pensado para los que quieren informarse, reírse y descubrir cosas nuevas en un mismo lugar. Somos un magazine en vivo con energía, comunidad y personalidad propia.
Si buscás información y entretenimiento en un solo canal, este es tu espacio.
Suscribite y activá la campana para no perderte ningún programa en vivo.
",AR,2011-10-21T18:06:49Z,2130,304006,735,20,1.26,5.0,0.65,2026-04-01T14:04:12Z,2026-05-01T11:23:56Z,No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,"💣BARDO EN VIVO💣 De Mendoza para el mundo. Hacer cosas en Argentina, en el rubro que sea... Es un Bardo !!
Vivir en Argentina es un Bardo. Por eso hicimos un canal donde cada Bardo tenga su lugar en el streaming. Se vienen cositas lindas para este 2026, sumate a nuestro bardo.
 
",AR,2023-09-19T17:06:01.887384Z,9080,620220,1120,30,0.66,7.5,0.97,2026-04-02T09:06:14Z,2026-05-01T09:17:21Z,No,,,
UC9kKAxookRd_sLlkmc1ROtA,DESDE EL FONDO,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0,"Esto no es un canal de streaming

",Argentina,2023-05-06T13:16:55.125123Z,821,167568,228,0,,,,,,No,,,Sin vivos en el mes
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,https://youtube.com/@cascotetv?si=6BIclzcR-wDcxADN,"Streaming de Mendoza al mundo... o bueno, a donde lleguemos 👀🎙️💻",AR,2025-03-14T21:43:06.776556Z,1190,48757,190,0,,,,,,No,,,Sin vivos en el mes
UCrKnuUxDxdkFZo-7zM4ZDQQ,Radio Alerta,https://youtube.com/@radioalertamza?si=k9xUrWYPFHEdFv-m,"Luján de Cuyo, Mendoza, Argentina.",Argentina,2020-01-19T01:37:43.138075Z,84,3794,56,1,,,,2026-04-12T14:12:52Z,2026-04-12T14:12:52Z,No,,,
