CanalID,Nombre,URL,Descripcion,Pais,FechaCreacion,Suscriptores,VistasTotales,CantidadVideos,CantidadVivosMes,PromedioDiasEntreVivos,FrecuenciaSemanal,FrecuenciaDiaria,FechaPrimerVivoMes,FechaUltimoVivoMes,MonetizacionAlternativa_desc,Links_desc,Plataformas_desc,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,"El streaming no es el futuro. Es el Presente.
Y desde FloydTV lo estamos liderando.
",AR,2018-05-31T20:34:05Z,28300,1218698,1749,25,0.79,6.25,0.81,2025-12-02T05:44:42Z,2025-12-31T00:51:02Z,No,,,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,"El PRIMER canal de streaming en Mendoza. 


PROGRAMACIÓN DIARIA EN VIVO  
De lunes a viernes de 11.00 a 14.00. 


Contacto Comercial: 
https://wa.me/5492615035445

",AR,2023-04-28T19:28:23.380002Z,10000,855446,2513,4,2.0,1.0,0.13,2025-12-03T18:01:47Z,2025-12-11T19:12:54Z,No,https://wa.me/5492615035445,,
UC2Spl5nhZtU_c8w7amfOKqw,Goreme Media,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,"Canal de #streaming 🎧 - Mendoza, Argentina",AR,2012-01-30T22:07:35Z,7040,1487523,182,0,,,,,,No,,,Sin vivos en el mes
UCxtCp4e1pGevREzI4aCMjow,EL BÚNKER,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,"Un refugio para fingir cordura ✌️
Todos los lunes de 19 a 21 h en vivo 
Somos @elbunkermza en todas las redes
",AR,2023-08-31T01:19:07.131715Z,1200,122901,234,2,4.0,0.5,0.06,2025-12-12T11:17:15Z,2025-12-16T12:25:06Z,No,,,
UCKmXYozYivG-QniM45u0THA,MALBEC PLAY,https://youtube.com/@malbecplay?si=CJp8lB2RIvVn99L8,"🎧 STREAM DE PURA CEPA 🤙🏼 


",AR,2021-08-22T23:31:39.64852Z,549,30279,273,0,,,,,,No,,,Sin vivos en el mes
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,"Nuestro canal de TV redefine la diversión con una mezcla única de creatividad y energía. Ofrecemos programación fresca y dinámica, desde series innovadoras hasta contenido interactivo, que captura el espíritu de la juventud y mantiene a nuestra audiencia siempre conectada con lo más actual.
",Argentina,2011-10-21T18:06:49Z,1800,214277,590,20,1.11,5.0,0.65,2025-12-03T01:15:32Z,2025-12-31T14:04:06Z,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Agencia Aluza,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn,Agencia de comunicación Audiovisual,AR,2020-12-30T06:10:27.350154Z,1790,33926,207,0,,,,,,No,,,Sin vivos en el mes
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,"💣BARDO EN VIVO💣 De Mendoza para el mundo. Hacer cosas en Argentina, en el rubro que sea... Es un Bardo !!
Vivir en Argentina es un Bardo. Por eso hicimos un canal donde cada Bardo tenga su lugar en el streaming. Se vienen cositas lindas para este 2025, estén atentxs.
 
",AR,2023-09-19T17:06:01.887384Z,7110,460537,856,28,0.67,7.0,0.9,2025-12-02T07:16:45Z,2025-12-31T09:40:02Z,No,,,
UCBSWjvvdoYMkgdybOl1TafA,Gordivinos,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh,"Somos un canal de streaming donde no solo hablamos de obesidad, sino de superación.📲✨💪🏻
Todos los domingos a las 11hs por YouTube. 
Seguinos en nuestras redes sociales: 
- Instagram: @Gordivinos.ok
- Tiktok: @Gordivinos
- Facebook: Gordivinos
",Argentina,2025-02-26T00:44:27.989043Z,809,44472,64,3,6.5,0.75,0.1,2025-12-08T16:00:05Z,2025-12-22T04:23:44Z,No,,,
UC9kKAxookRd_sLlkmc1ROtA,DESDE EL FONDO,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0,"Esto no es un canal de streaming

",Argentina,2023-05-06T13:16:55.125123Z,824,167202,228,0,,,,,,No,,,Sin vivos en el mes
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,https://youtube.com/@cascotetv?si=6BIclzcR-wDcxADN,"Streaming de Mendoza al mundo... o bueno, a donde lleguemos 👀🎙️💻",AR,2025-03-14T21:43:06.776556Z,1190,48320,190,5,3.5,1.25,0.16,2025-12-03T11:02:30Z,2025-12-18T12:46:36Z,No,,,
UCrKnuUxDxdkFZo-7zM4ZDQQ,Radio Alerta,https://youtube.com/@radioalertamza?si=k9xUrWYPFHEdFv-m,"Luján de Cuyo, Mendoza, Argentina.",Argentina,2020-01-19T01:37:43.138075Z,75,3282,55,0,,,,,,No,,,Sin vivos en el mes
UC1gMJbPatMRNcWKQGfmw8MQ,OID MORTALES,https://youtube.com/@oidmortalesmza?si=XeujmJKrR_AFYcHm,,AR,2023-10-18T02:54:09.88102Z,33700,7216051,942,7,3.0,1.75,0.23,2025-12-03T13:17:56Z,2025-12-24T02:26:40Z,No,,,
UCghFRyDAl663a6CPtjwXw9g,Sifonazo Stream,https://youtube.com/@sifonazostream?si=BJ5yAWV1ixXxL354,"Bienvenidos a Sifonazo Stream.

Acá no venimos a caretear: amamos el deporte, lo vivimos a fondo y lo contamos con pasión.

¡Seguinos y vení a vivir esta aventura con nosotros! 
",AR,2025-07-04T03:11:02.59981Z,1120,291438,274,6,3.6,1.5,0.19,2025-12-02T01:21:24Z,2025-12-23T13:23:56Z,No,,,
