CanalID,Nombre,URL,Descripcion,Pais,FechaCreacion,Suscriptores,VistasTotales,CantidadVideos,CantidadVivosMes,PromedioDiasEntreVivos,FrecuenciaSemanal,FrecuenciaDiaria,FechaPrimerVivoMes,FechaUltimoVivoMes,MonetizacionAlternativa_desc,Links_desc,Plataformas_desc,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,"El streaming no es el futuro. Es el Presente.
Y desde FloydTV lo estamos liderando.
",AR,2018-05-31T20:34:05Z,27700,1145867,1600,53,0.27,13.25,1.71,2025-09-01T23:24:01Z,2025-09-30T11:20:12Z,No,,,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,"El PRIMER canal de streaming en Mendoza. 


PROGRAMACIÓN DIARIA EN VIVO  
De lunes a viernes de 11.00 a 14.00. 


Contacto Comercial: 
https://wa.me/5492615035445

",AR,2023-04-28T19:28:23.380002Z,9580,746208,2292,18,1.18,4.5,0.58,2025-09-01T19:14:55Z,2025-09-30T20:08:34Z,No,https://wa.me/5492615035445,,
UC2Spl5nhZtU_c8w7amfOKqw,Goreme Media,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,"Canal de #streaming 🎧 - Mendoza, Argentina",AR,2012-01-30T22:07:35Z,7050,1479696,182,0,,,,,,No,,,Sin vivos en el mes
UCxtCp4e1pGevREzI4aCMjow,EL BÚNKER,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,"Un refugio para fingir cordura ✌️
Todos los lunes de 19 a 21 h en vivo 
Somos @elbunkermza en todas las redes
",AR,2023-08-31T01:19:07.131715Z,1080,92622,184,5,6.25,1.25,0.16,2025-09-02T12:28:14Z,2025-09-30T12:23:25Z,No,,,
UCKmXYozYivG-QniM45u0THA,MALBEC PLAY,https://youtube.com/@malbecplay?si=CJp8lB2RIvVn99L8,"🎧 STREAM DE PURA CEPA 🤙🏼 


",AR,2021-08-22T23:31:39.64852Z,552,30197,273,0,,,,,,No,,,Sin vivos en el mes
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,"Nuestro canal de TV redefine la diversión con una mezcla única de creatividad y energía. Ofrecemos programación fresca y dinámica, desde series innovadoras hasta contenido interactivo, que captura el espíritu de la juventud y mantiene a nuestra audiencia siempre conectada con lo más actual.
",Argentina,2011-10-21T18:06:49Z,1610,161758,480,29,0.61,7.25,0.94,2025-09-01T21:08:17Z,2025-09-30T09:28:54Z,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Agencia Aluza,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn,Agencia de comunicación Audiovisual,AR,2020-12-30T06:10:27.350154Z,1790,33766,207,0,,,,,,No,,,Sin vivos en el mes
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,"💣BARDO EN VIVO💣 De Mendoza para el mundo. Hacer cosas en Argentina, en el rubro que sea... Es un Bardo !!
Vivir en Argentina es un Bardo. Por eso hicimos un canal donde cada Bardo tenga su lugar en el streaming. Se vienen cositas lindas para este 2025, estén atentxs.
 
",AR,2023-09-19T17:06:01.887384Z,5550,352967,634,26,0.72,6.5,0.84,2025-09-02T09:12:53Z,2025-09-30T14:32:28Z,No,,,
UCBSWjvvdoYMkgdybOl1TafA,Gordivinos,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh,"Somos un canal de streaming donde no solo hablamos de obesidad, sino de superación.📲✨💪🏻
Todos los domingos a las 11hs por YouTube. 
Seguinos en nuestras redes sociales: 
- Instagram: @Gordivinos.ok
- Tiktok: @Gordivinos
- Facebook: Gordivinos
",Argentina,2025-02-26T00:44:27.989043Z,709,37183,49,5,6.25,1.25,0.16,2025-09-01T04:34:16Z,2025-09-29T04:13:23Z,No,,,
UC9kKAxookRd_sLlkmc1ROtA,DESDE EL FONDO,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0,"Otro canal de streaming 

DESDE EL FONDO | Viernes 9:30am
",Argentina,2023-05-06T13:16:55.125123Z,826,166931,228,0,,,,,,No,,,Sin vivos en el mes
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,https://youtube.com/@cascotetv?si=6BIclzcR-wDcxADN,"Streaming de Mendoza al mundo... o bueno, a donde lleguemos 👀🎙️💻",Argentina,2025-03-14T21:43:06.776556Z,874,35944,149,18,1.12,4.5,0.58,2025-09-02T12:13:37Z,2025-09-30T19:56:56Z,No,,,
UCrKnuUxDxdkFZo-7zM4ZDQQ,Radio Alerta,https://youtube.com/@radioalertamza?si=k9xUrWYPFHEdFv-m,"Luján de Cuyo, Mendoza, Argentina.",Argentina,2020-01-19T01:37:43.138075Z,70,2688,50,2,21.0,0.5,0.06,2025-09-06T13:47:48Z,2025-09-28T13:31:51Z,No,,,
UC1gMJbPatMRNcWKQGfmw8MQ,OID MORTALES,https://youtube.com/@oidmortalesmza?si=XeujmJKrR_AFYcHm,,AR,2023-10-18T02:54:09.88102Z,33200,7064235,819,13,1.83,3.25,0.42,2025-09-04T11:50:17Z,2025-09-30T22:34:46Z,No,,,
UCghFRyDAl663a6CPtjwXw9g,Sifonazo Stream,https://youtube.com/@sifonazostream?si=BJ5yAWV1ixXxL354,"Bienvenidos a Sifonazo Stream.

Acá no venimos a caretear: amamos el deporte, lo vivimos a fondo y lo contamos con pasión.

¡Seguinos y vení a vivir esta aventura con nosotros! 
",Argentina,2025-07-04T03:11:02.59981Z,572,157927,170,8,3.57,2.0,0.26,2025-09-02T01:20:11Z,2025-09-30T01:15:11Z,No,,,
